"station","longitude","latitude"
809188,-117.596997,34.135225
809202,-117.591753,34.135048
809211,-117.647585,34.134814
809238,-117.638878,34.135077
809252,-117.632056,34.134861
809259,-117.633626,34.134867
809273,-117.617941,34.135159
809287,-117.614434,34.13488
809294,-117.691242,34.124085
809301,-117.68609,34.128716
809308,-117.678724,34.133268
809322,-117.671995,34.13449
809336,-117.668476,34.134363
809343,-117.661517,34.134219
809485,-117.545031,34.076309
809498,-117.544634,34.079216
809912,-117.723013,34.0259
809952,-117.711844,34.02986
809960,-117.682103,34.030448
809968,-117.661169,34.030289
809977,-117.638482,34.030369
809986,-117.585573,34.03051
810124,-117.492723,34.138786
810131,-117.490347,34.140762
810143,-117.478415,34.151077
810165,-117.475525,34.153033
810190,-117.5437,34.09224
810210,-117.473056,34.136202
810230,-117.473054,34.136663
810245,-117.485202,34.136172
810259,-117.490458,34.136506
810266,-117.499298,34.136448
810273,-117.511576,34.136088
810280,-117.51856,34.136231
810316,-117.222169,33.939193
812586,-117.741124,34.016511
812588,-117.736209,34.013604
812601,-117.731974,34.009478
812609,-117.726903,34.004823
812648,-117.724672,34.002232
812651,-117.722897,33.998726
812654,-117.712124,33.986055
812657,-117.704182,33.979404
812690,-117.659983,33.931212
812704,-117.65946,33.930912
812717,-117.657535,33.927953
812730,-117.662078,33.933857
812744,-117.680542,33.956585
812776,-117.692861,33.971359
812788,-117.689906,33.968018
812800,-117.690507,33.968949
812811,-117.687782,33.965741
812821,-117.676512,33.951061
812831,-117.673171,33.945546
813048,-117.526621,34.067627
813058,-117.524698,34.067374
813068,-117.523472,34.067757
813079,-117.521355,34.067462
813316,-117.435261,34.06747
813333,-117.433523,34.067191
813973,-117.340028,34.134625
813980,-117.240179,34.137428
813993,-117.40381,34.136037
813995,-117.332809,34.135383
814010,-117.385384,34.135204
814027,-117.391591,34.135993
814211,-117.409748,34.136181
814216,-117.416002,34.136537
814480,-117.431083,34.136267
814499,-117.458127,34.136815
814506,-117.449477,34.13611
814514,-117.438636,34.136385
814526,-117.433842,34.13616
814533,-117.43483,34.136373
814548,-117.339254,34.134842
814552,-117.351169,34.134232
814566,-117.36449,34.136091
815317,-117.550465,33.997387
815332,-117.55055,34.001727
815347,-117.55014,34.002522
816009,-117.342665,33.982732
816033,-117.334939,33.975118
816047,-117.328982,33.969488
816061,-117.327701,33.96725
816077,-117.359032,33.990999
816106,-117.308745,33.958259
816113,-117.323788,33.963064
816150,-117.30296,33.95012
816155,-117.291256,33.939239
816194,-117.542984,34.136385
816211,-117.532517,34.136608
816219,-117.490457,34.136228
816241,-117.309221,34.046528
816253,-117.326662,34.032437
816255,-117.32655,34.032333
816268,-117.339132,34.020039
816269,-117.338996,34.019958
816285,-117.33428,34.025116
816286,-117.334408,34.02521
816299,-117.323391,34.03513
816301,-117.323494,34.035237
816313,-117.304883,34.049392
816328,-117.308032,34.047187
816364,-117.211337,34.066712
816382,-117.228549,34.066697
816383,-117.228559,34.06648
816400,-117.246498,34.066685
816401,-117.246445,34.06649
816418,-117.263584,34.064205
816419,-117.263528,34.064011
816432,-117.275764,34.064143
816446,-117.29129,34.063642
816450,-117.291302,34.063379
816464,-117.276468,34.063943
816480,-117.25872,34.064883
816481,-117.258783,34.065082
816494,-117.24163,34.066472
816495,-117.241667,34.066683
816509,-117.224079,34.06648
816510,-117.224052,34.066697
816966,-117.296362,34.064063
816967,-117.296306,34.064321
816994,-117.138773,33.439131
817007,-117.135378,33.454672
817009,-117.135831,33.454667
817018,-117.136524,33.463321
817019,-117.136052,33.463363
817029,-117.140861,33.481651
817030,-117.141221,33.481571
817143,-117.219606,33.575299
817144,-117.219938,33.575084
817152,-117.231108,33.584125
817153,-117.231429,33.583902
817172,-117.171087,33.655825
817173,-117.171317,33.655815
817198,-117.561479,34.067614
817213,-117.559101,34.067352
817370,-117.251784,33.603554
817371,-117.252125,33.603314
817372,-117.261198,33.613942
817373,-117.261611,33.613692
817374,-117.27345,33.627956
817375,-117.273898,33.627791
817376,-117.283119,33.641724
817377,-117.283515,33.641546
817381,-117.289463,33.650369
817382,-117.299945,33.663701
817383,-117.300212,33.663461
817384,-117.312214,33.6718
817385,-117.312467,33.671529
817386,-117.325141,33.678857
817387,-117.325391,33.678616
817388,-117.338829,33.693488
817389,-117.339111,33.693266
817390,-117.35816,33.70784
817391,-117.358497,33.707671
817392,-117.400198,33.731334
817393,-117.400243,33.730982
817394,-117.441654,33.743691
817395,-117.441902,33.743387
817404,-117.164331,33.524833
817405,-117.164639,33.524688
817553,-117.363587,33.995896
817737,-117.139262,33.439221
817740,-117.149129,33.497276
817741,-117.148737,33.497398
817742,-117.156015,33.510492
817743,-117.155704,33.51061
817744,-117.16295,33.52215
817745,-117.162615,33.522306
817746,-117.170282,33.533748
817754,-117.257383,33.609084
817755,-117.25703,33.609314
817756,-117.269997,33.62298
817757,-117.269575,33.62315
817758,-117.296799,33.660171
817759,-117.296525,33.660391
817760,-117.320107,33.674907
817761,-117.319849,33.675169
817762,-117.335735,33.689862
817763,-117.335453,33.690092
817764,-117.35645,33.705341
817765,-117.356109,33.705512
817766,-117.363307,33.718425
817767,-117.363035,33.718682
817768,-117.378219,33.727501
817769,-117.378106,33.727828
817770,-117.391752,33.729874
817771,-117.391749,33.730194
